event,menu,direction,rate,elapsed_s,rssi_dbm,status
reset,0,none,0,0,,ok
prepare,11,tx,2000000,0,,HiF
start,11,tx,2000000,0,,ok
progress,11,tx,2000000,1.001,,ok
progress,11,tx,2000000,2.001,,ok
progress,11,tx,2000000,3.002,,ok
progress,11,tx,2000000,4.003,,ok
progress,11,tx,2000000,5.004,,ok
progress,11,tx,2000000,6.005,,ok
progress,11,tx,2000000,7.006,,ok
progress,11,tx,2000000,8.007,,ok
progress,11,tx,2000000,9.008,,ok
progress,11,tx,2000000,10.009,,ok
stop,11,tx,2000000,0,,ok
prepare,11,tx,4000000,0,,HiF
start,11,tx,4000000,0,,ok
progress,11,tx,4000000,1.001,,ok
progress,11,tx,4000000,2.002,,ok
progress,11,tx,4000000,3.002,,ok
progress,11,tx,4000000,4.003,,ok
progress,11,tx,4000000,5.004,,ok
progress,11,tx,4000000,6.005,,ok
progress,11,tx,4000000,7.006,,ok
progress,11,tx,4000000,8.006,,ok
progress,11,tx,4000000,9.007,,ok
progress,11,tx,4000000,10.008,,ok
stop,11,tx,4000000,0,,ok
prepare,12,rx,2000000,0,,HiF
start,12,rx,2000000,0,,ok
rssi,12,rx,2000000,1.001,-107.00,ok
rssi,12,rx,2000000,2.001,-105.00,ok
rssi,12,rx,2000000,3.003,-104.00,ok
rssi,12,rx,2000000,4.004,-104.00,ok
rssi,12,rx,2000000,5.005,-104.00,ok
rssi,12,rx,2000000,6.007,-107.00,ok
rssi,12,rx,2000000,7.009,-103.00,ok
rssi,12,rx,2000000,8.010,-104.00,ok
rssi,12,rx,2000000,9.011,-104.00,ok
rssi,12,rx,2000000,10.012,-104.00,ok
stop,12,rx,2000000,0,,ok
prepare,12,rx,4000000,0,,HiF
start,12,rx,4000000,0,,ok
rssi,12,rx,4000000,1.001,-107.00,ok
rssi,12,rx,4000000,2.002,-103.00,ok
rssi,12,rx,4000000,3.003,-104.00,ok
rssi,12,rx,4000000,4.004,-103.00,ok
rssi,12,rx,4000000,5.005,-103.00,ok
rssi,12,rx,4000000,6.006,-105.00,ok
rssi,12,rx,4000000,7.008,-103.00,ok
rssi,12,rx,4000000,8.009,-103.00,ok
rssi,12,rx,4000000,9.010,-104.00,ok
rssi,12,rx,4000000,10.011,-102.00,ok
stop,12,rx,4000000,0,,ok
prepare,14,tx,2000000,0,,HiF
start,14,tx,2000000,0,,ok
progress,14,tx,2000000,1.001,,ok
progress,14,tx,2000000,2.001,,ok
progress,14,tx,2000000,3.002,,ok
progress,14,tx,2000000,4.003,,ok
progress,14,tx,2000000,5.004,,ok
progress,14,tx,2000000,6.005,,ok
progress,14,tx,2000000,7.006,,ok
progress,14,tx,2000000,8.007,,ok
progress,14,tx,2000000,9.007,,ok
progress,14,tx,2000000,10.009,,ok
stop,14,tx,2000000,0,,ok
prepare,14,tx,4000000,0,,HiF
start,14,tx,4000000,0,,ok
progress,14,tx,4000000,1.001,,ok
progress,14,tx,4000000,2.002,,ok
progress,14,tx,4000000,3.002,,ok
progress,14,tx,4000000,4.003,,ok
progress,14,tx,4000000,5.004,,ok
progress,14,tx,4000000,6.005,,ok
progress,14,tx,4000000,7.006,,ok
progress,14,tx,4000000,8.006,,ok
progress,14,tx,4000000,9.007,,ok
progress,14,tx,4000000,10.008,,ok
stop,14,tx,4000000,0,,ok
prepare,14,rx,2000000,0,,HiF
start,14,rx,2000000,0,,ok
rssi,14,rx,2000000,1.001,-108.00,ok
rssi,14,rx,2000000,2.001,-105.00,ok
rssi,14,rx,2000000,3.002,-110.00,ok
rssi,14,rx,2000000,4.003,-105.00,ok
rssi,14,rx,2000000,5.004,-105.00,ok
rssi,14,rx,2000000,6.005,-106.00,ok
rssi,14,rx,2000000,7.006,-108.00,ok
rssi,14,rx,2000000,8.007,-110.00,ok
rssi,14,rx,2000000,9.008,-106.00,ok
rssi,14,rx,2000000,10.010,-107.00,ok
stop,14,rx,2000000,0,,ok
prepare,14,rx,4000000,0,,HiF
start,14,rx,4000000,0,,ok
rssi,14,rx,4000000,1.001,-108.00,ok
rssi,14,rx,4000000,2.002,-106.00,ok
rssi,14,rx,4000000,3.003,-106.00,ok
rssi,14,rx,4000000,4.004,-105.00,ok
rssi,14,rx,4000000,5.005,-105.00,ok
rssi,14,rx,4000000,6.006,-102.00,ok
rssi,14,rx,4000000,7.007,-103.00,ok
rssi,14,rx,4000000,8.008,-104.00,ok
rssi,14,rx,4000000,9.009,-108.00,ok
rssi,14,rx,4000000,10.010,-103.00,ok
stop,14,rx,4000000,0,,ok
complete,0,none,0,0,,awaiting-listener
