event,menu,direction,rate,elapsed_s,rssi_dbm,status
reset,0,none,0,0,,ok
prepare,11,tx,2000000,0,,HiF
start,11,tx,2000000,0,,ok
progress,11,tx,2000000,1.001,,ok
progress,11,tx,2000000,2.001,,ok
progress,11,tx,2000000,3.002,,ok
progress,11,tx,2000000,4.003,,ok
progress,11,tx,2000000,5.004,,ok
progress,11,tx,2000000,6.005,,ok
progress,11,tx,2000000,7.006,,ok
progress,11,tx,2000000,8.007,,ok
progress,11,tx,2000000,9.008,,ok
progress,11,tx,2000000,10.009,,ok
stop,11,tx,2000000,0,,ok
prepare,11,tx,4000000,0,,HiF
start,11,tx,4000000,0,,ok
progress,11,tx,4000000,1.001,,ok
progress,11,tx,4000000,2.002,,ok
progress,11,tx,4000000,3.002,,ok
progress,11,tx,4000000,4.003,,ok
progress,11,tx,4000000,5.004,,ok
progress,11,tx,4000000,6.005,,ok
progress,11,tx,4000000,7.006,,ok
progress,11,tx,4000000,8.006,,ok
progress,11,tx,4000000,9.007,,ok
progress,11,tx,4000000,10.008,,ok
stop,11,tx,4000000,0,,ok
prepare,12,rx,2000000,0,,HiF
start,12,rx,2000000,0,,ok
rssi,12,rx,2000000,1.001,-105.00,ok
rssi,12,rx,2000000,2.002,-104.00,ok
rssi,12,rx,2000000,3.002,-110.00,ok
rssi,12,rx,2000000,4.003,-107.00,ok
rssi,12,rx,2000000,5.005,-105.00,ok
rssi,12,rx,2000000,6.006,-106.00,ok
rssi,12,rx,2000000,7.008,-105.00,ok
rssi,12,rx,2000000,8.010,-106.00,ok
rssi,12,rx,2000000,9.011,-108.00,ok
rssi,12,rx,2000000,10.012,-105.00,ok
stop,12,rx,2000000,0,,ok
prepare,12,rx,4000000,0,,HiF
start,12,rx,4000000,0,,ok
rssi,12,rx,4000000,1.001,-106.00,ok
rssi,12,rx,4000000,2.002,-104.00,ok
rssi,12,rx,4000000,3.003,-104.00,ok
rssi,12,rx,4000000,4.004,-103.00,ok
rssi,12,rx,4000000,5.005,-102.00,ok
rssi,12,rx,4000000,6.008,-103.00,ok
rssi,12,rx,4000000,7.009,-103.00,ok
rssi,12,rx,4000000,8.011,-105.00,ok
rssi,12,rx,4000000,9.012,-100.00,ok
rssi,12,rx,4000000,10.014,-106.00,ok
stop,12,rx,4000000,0,,ok
prepare,14,tx,2000000,0,,HiF
start,14,tx,2000000,0,,ok
progress,14,tx,2000000,1.001,,ok
progress,14,tx,2000000,2.001,,ok
progress,14,tx,2000000,3.002,,ok
progress,14,tx,2000000,4.003,,ok
progress,14,tx,2000000,5.004,,ok
progress,14,tx,2000000,6.005,,ok
progress,14,tx,2000000,7.005,,ok
progress,14,tx,2000000,8.006,,ok
progress,14,tx,2000000,9.007,,ok
progress,14,tx,2000000,10.008,,ok
stop,14,tx,2000000,0,,ok
prepare,14,tx,4000000,0,,HiF
start,14,tx,4000000,0,,ok
progress,14,tx,4000000,1.001,,ok
progress,14,tx,4000000,2.002,,ok
progress,14,tx,4000000,3.002,,ok
progress,14,tx,4000000,4.003,,ok
progress,14,tx,4000000,5.006,,ok
progress,14,tx,4000000,6.007,,ok
progress,14,tx,4000000,7.008,,ok
progress,14,tx,4000000,8.009,,ok
progress,14,tx,4000000,9.010,,ok
progress,14,tx,4000000,10.010,,ok
stop,14,tx,4000000,0,,ok
prepare,14,rx,2000000,0,,HiF
start,14,rx,2000000,0,,ok
rssi,14,rx,2000000,1.001,-105.00,ok
rssi,14,rx,2000000,2.002,-107.00,ok
rssi,14,rx,2000000,3.003,-106.00,ok
rssi,14,rx,2000000,4.004,-106.00,ok
rssi,14,rx,2000000,5.005,-105.00,ok
rssi,14,rx,2000000,6.006,-106.00,ok
rssi,14,rx,2000000,7.007,-104.00,ok
rssi,14,rx,2000000,8.008,-106.00,ok
rssi,14,rx,2000000,9.009,-104.00,ok
rssi,14,rx,2000000,10.010,-103.00,ok
stop,14,rx,2000000,0,,ok
prepare,14,rx,4000000,0,,HiF
start,14,rx,4000000,0,,ok
rssi,14,rx,4000000,1.001,-102.00,ok
rssi,14,rx,4000000,2.003,-107.00,ok
rssi,14,rx,4000000,3.005,-98.00,ok
rssi,14,rx,4000000,4.006,-103.00,ok
rssi,14,rx,4000000,5.007,-102.00,ok
rssi,14,rx,4000000,6.008,-106.00,ok
rssi,14,rx,4000000,7.009,-102.00,ok
rssi,14,rx,4000000,8.010,-103.00,ok
rssi,14,rx,4000000,9.012,-100.00,ok
rssi,14,rx,4000000,10.013,-106.00,ok
stop,14,rx,4000000,0,,ok
complete,0,none,0,0,,awaiting-listener
